user_id,stock_symbol,market,add_date,current_price,buy_orders,sell_orders,price_alerts,target_price,created_at
user_0001,MSFT,US,2025-06-09,387,4,3,True,397.12665003267193,2025-06-09T08:04:34.555942
user_0001,하나금융지주,KR,2024-11-07,151566,3,0,True,139440.87299308294,2024-11-07T08:04:34.555973
user_0001,AAPL,US,2025-05-14,180,1,3,False,,2025-05-14T08:04:34.555979
user_0001,POSCO,KR,2025-01-31,149580,0,2,True,141183.09136681078,2025-01-31T08:04:34.555983
user_0001,TSLA,US,2024-12-04,246,1,3,False,,2024-12-04T08:04:34.555987
user_0001,현대모비스,KR,2025-03-05,97315,1,3,False,,2025-03-05T08:04:34.555990
user_0001,ADBE,US,2024-11-25,485,5,1,False,,2024-11-25T08:04:34.555994
user_0001,META,US,2025-01-16,137,2,3,False,,2025-01-16T08:04:34.555999
user_0001,INTC,US,2025-02-24,464,2,1,False,,2025-02-24T08:04:34.556004
user_0002,META,US,2024-09-11,191,4,4,True,206.29574145803346,2024-09-11T08:04:34.556038
user_0002,SHOP,US,2025-05-28,82,1,5,True,74.62811522494971,2025-05-28T08:04:34.556044
user_0002,NH투자증권,KR,2024-09-19,106262,1,4,False,,2024-09-19T08:04:34.556048
user_0002,신한지주,KR,2025-08-31,119421,3,5,False,,2025-08-31T08:04:34.556051
user_0002,KB금융,KR,2024-10-18,67262,2,2,False,,2024-10-18T08:04:34.556055
user_0002,UBER,US,2025-03-03,134,4,3,False,,2025-03-03T08:04:34.556058
user_0002,AMD,US,2025-02-10,281,1,3,False,,2025-02-10T08:04:34.556062
user_0002,하나금융지주,KR,2024-10-20,29680,4,3,False,,2024-10-20T08:04:34.556065
user_0002,ADBE,US,2025-06-27,371,4,1,False,,2025-06-27T08:04:34.556069
user_0002,GOOGL,US,2025-05-16,43,4,1,False,,2025-05-16T08:04:34.556072
user_0002,SK텔레콤,KR,2025-02-28,119121,2,5,False,,2025-02-28T08:04:34.556075
user_0002,한국전력,KR,2025-07-09,29688,2,5,False,,2025-07-09T08:04:34.556079
user_0002,우리금융지주,KR,2024-12-13,24623,5,4,True,25047.645895590053,2024-12-13T08:04:34.556082
user_0002,SPOT,US,2025-03-23,336,0,2,True,364.23446815460534,2025-03-23T08:04:34.556086
user_0002,신세계,KR,2025-08-11,110876,4,1,True,103236.44975528798,2025-08-11T08:04:34.556089
user_0003,AAPL,US,2025-02-08,195,2,3,True,198.72136404673088,2025-02-08T08:04:34.556115
user_0003,POSCO,KR,2024-11-05,187598,5,2,True,199578.13945548728,2024-11-05T08:04:34.556120
user_0003,SK텔레콤,KR,2024-12-29,42427,4,0,True,39715.87778708826,2024-12-29T08:04:34.556124
user_0003,ROKU,US,2025-02-22,405,0,5,False,,2025-02-22T08:04:34.556127
user_0003,KT&G,KR,2024-11-02,60144,1,5,True,56091.07842608201,2024-11-02T08:04:34.556130
user_0003,NVDA,US,2024-11-23,466,3,5,True,463.03958252126324,2024-11-23T08:04:34.556134
user_0003,ADBE,US,2025-07-09,181,3,0,False,,2025-07-09T08:04:34.556137
user_0003,SHOP,US,2024-11-16,328,5,2,True,330.550606886349,2024-11-16T08:04:34.556140
user_0003,신세계,KR,2025-07-29,12588,4,5,True,12345.126353566035,2025-07-29T08:04:34.556144
user_0004,우리금융지주,KR,2025-01-26,158568,3,0,False,,2025-01-26T08:04:34.556166
user_0004,AMD,US,2025-06-04,322,0,2,True,350.9022180605578,2025-06-04T08:04:34.556170
user_0004,INTC,US,2024-12-05,215,4,0,False,,2024-12-05T08:04:34.556174
user_0004,POSCO,KR,2025-02-22,119125,3,0,False,,2025-02-22T08:04:34.556177
user_0004,신한지주,KR,2025-08-18,90236,1,5,False,,2025-08-18T08:04:34.556180
user_0004,LG화학,KR,2025-05-17,149236,3,4,True,151639.74899912646,2025-05-17T08:04:34.556184
user_0004,PELOTON,US,2025-07-02,433,1,5,True,401.65103072528694,2025-07-02T08:04:34.556187
user_0004,현대차,KR,2024-10-30,49809,3,5,True,50358.6397306491,2024-10-30T08:04:34.556190
user_0004,TSLA,US,2025-05-24,259,2,0,True,252.00960076921396,2025-05-24T08:04:34.556194
user_0005,우리금융지주,KR,2025-03-26,165634,1,1,False,,2025-03-26T08:04:34.556216
user_0005,하나금융지주,KR,2025-02-22,38416,0,1,True,41576.94875162361,2025-02-22T08:04:34.556220
user_0005,ADBE,US,2025-08-03,349,4,4,True,326.9857604302151,2025-08-03T08:04:34.556223
user_0005,카카오,KR,2024-11-17,111387,1,2,False,,2024-11-17T08:04:34.556227
user_0006,현대모비스,KR,2025-08-31,125311,4,5,False,,2025-08-31T08:04:34.556248
user_0006,SK하이닉스,KR,2025-09-08,105772,0,1,True,111060.33264016164,2025-09-08T08:04:34.556252
user_0006,INTC,US,2025-02-23,103,2,4,True,96.36034774439597,2025-02-23T08:04:34.556256
user_0006,AAPL,US,2025-03-15,225,2,0,True,240.0455198729253,2025-03-15T08:04:34.556259
