user_id,date,action_type,action_detail,duration_minutes,timestamp
user_0001,2025-09-09,app_visit,앱_방문,56,2025-09-09T08:04:34.303844
user_0001,2025-09-09,stock_detail_view,PELOTON_상세보기,28,2025-09-09T09:02:34.303844
user_0001,2025-09-06,app_visit,앱_방문,52,2025-09-06T08:04:34.303928
user_0001,2025-09-06,news_exploration,시장동향_뉴스,12,2025-09-06T08:07:34.303928
user_0001,2025-09-06,community_exploration,시장분석_커뮤니티,26,2025-09-06T08:59:34.303928
user_0001,2025-09-04,app_visit,앱_방문,47,2025-09-04T08:04:34.303946
user_0001,2025-09-04,stock_detail_view,INTC_상세보기,24,2025-09-04T09:00:34.303946
user_0001,2025-09-04,news_exploration,기업뉴스_뉴스,44,2025-09-04T08:28:34.303946
user_0001,2025-09-03,app_visit,앱_방문,111,2025-09-03T08:04:34.303956
user_0001,2025-09-03,stock_detail_view,기아_상세보기,17,2025-09-03T08:32:34.303956
user_0001,2025-08-31,app_visit,앱_방문,32,2025-08-31T08:04:34.303967
user_0001,2025-08-31,stock_detail_view,AAPL_상세보기,14,2025-08-31T08:38:34.303967
user_0001,2025-08-31,community_exploration,시장분석_커뮤니티,56,2025-08-31T08:27:34.303967
user_0001,2025-08-30,app_visit,앱_방문,52,2025-08-30T08:04:34.303977
user_0001,2025-08-30,stock_detail_view,하나금융지주_상세보기,12,2025-08-30T08:30:34.303977
user_0001,2025-08-30,news_exploration,해외시장_뉴스,5,2025-08-30T08:55:34.303977
user_0001,2025-08-28,app_visit,앱_방문,108,2025-08-28T08:04:34.303988
user_0001,2025-08-28,stock_detail_view,POSCO_상세보기,29,2025-08-28T08:33:34.303988
user_0001,2025-08-28,news_exploration,시장동향_뉴스,12,2025-08-28T08:23:34.303988
user_0001,2025-08-26,app_visit,앱_방문,80,2025-08-26T08:04:34.303997
user_0001,2025-08-26,stock_detail_view,AMD_상세보기,14,2025-08-26T08:35:34.303997
user_0001,2025-08-26,news_exploration,기업뉴스_뉴스,33,2025-08-26T08:40:34.303997
user_0001,2025-08-20,app_visit,앱_방문,74,2025-08-20T08:04:34.304009
user_0001,2025-08-20,community_exploration,시장분석_커뮤니티,57,2025-08-20T08:58:34.304009
user_0001,2025-08-19,app_visit,앱_방문,110,2025-08-19T08:04:34.304014
user_0001,2025-08-19,stock_detail_view,TSLA_상세보기,2,2025-08-19T08:54:34.304014
user_0001,2025-08-18,app_visit,앱_방문,117,2025-08-18T08:04:34.304020
user_0001,2025-08-18,stock_detail_view,MSFT_상세보기,21,2025-08-18T08:21:34.304020
user_0001,2025-08-16,app_visit,앱_방문,81,2025-08-16T08:04:34.304026
user_0001,2025-08-16,stock_detail_view,NFLX_상세보기,2,2025-08-16T09:01:34.304026
user_0001,2025-08-12,app_visit,앱_방문,90,2025-08-12T08:04:34.304034
user_0001,2025-08-12,stock_detail_view,NFLX_상세보기,18,2025-08-12T08:53:34.304034
user_0001,2025-08-12,news_exploration,시장동향_뉴스,13,2025-08-12T08:51:34.304034
user_0002,2025-09-09,app_visit,앱_방문,80,2025-09-09T08:04:34.304119
user_0002,2025-09-09,stock_detail_view,우리금융지주_상세보기,10,2025-09-09T08:23:34.304119
user_0002,2025-09-09,news_exploration,시장동향_뉴스,30,2025-09-09T09:03:34.304119
user_0002,2025-09-09,community_exploration,시장분석_커뮤니티,22,2025-09-09T08:28:34.304119
user_0002,2025-09-08,app_visit,앱_방문,88,2025-09-08T08:04:34.304134
user_0002,2025-09-08,stock_detail_view,기아_상세보기,26,2025-09-08T08:28:34.304134
user_0002,2025-09-08,news_exploration,해외시장_뉴스,25,2025-09-08T08:29:34.304134
user_0002,2025-09-07,app_visit,앱_방문,32,2025-09-07T08:04:34.304142
user_0002,2025-09-07,stock_detail_view,ZOOM_상세보기,26,2025-09-07T08:14:34.304142
user_0002,2025-09-07,news_exploration,기업뉴스_뉴스,34,2025-09-07T08:47:34.304142
user_0002,2025-09-06,app_visit,앱_방문,5,2025-09-06T08:04:34.304151
user_0002,2025-09-05,app_visit,앱_방문,57,2025-09-05T08:04:34.304153
user_0002,2025-09-05,stock_detail_view,LG전자_상세보기,12,2025-09-05T09:04:34.304153
user_0002,2025-09-05,community_exploration,시장분석_커뮤니티,45,2025-09-05T09:00:34.304153
user_0002,2025-09-04,app_visit,앱_방문,87,2025-09-04T08:04:34.304162
user_0002,2025-09-04,stock_detail_view,신한지주_상세보기,18,2025-09-04T08:10:34.304162
user_0002,2025-09-03,app_visit,앱_방문,89,2025-09-03T08:04:34.304168
user_0002,2025-09-03,stock_detail_view,AMD_상세보기,2,2025-09-03T08:15:34.304168
user_0002,2025-09-03,news_exploration,기업뉴스_뉴스,41,2025-09-03T08:27:34.304168
user_0002,2025-09-02,app_visit,앱_방문,117,2025-09-02T08:04:34.304176
user_0002,2025-09-02,news_exploration,경제뉴스_뉴스,43,2025-09-02T08:51:34.304176
user_0002,2025-09-01,app_visit,앱_방문,16,2025-09-01T08:04:34.304182
